County;Agency_Name;Trading_Name;Address;Licence_Number;Phone;Email;Website;Covered_Fields
Carlow;Care Network Ireland Ltd;;36 Dublin Street Co. Carlow;EA4373;353868517366;;https://www.carenetworkireland.ie;Care & Healthcare
Carlow;Cleanzone Hygiene Supplies Limited;;Hacketstown Road Bennekerry Co. Carlow;EA4726;;;;Cleaning Services
Carlow;Prime Hire Ireland;;Edenbrook Athy Road Co. Carlow;EA5378;;info@primehireireland.ie;https://www.primehireireland.ie/;General Recruitment
Carlow;Straight Forward Recruiters Limited;Straight Forward Recruiters;Knocklishen More Rathvilly Co. Carlow;EA4582;;;;Industrial, Manufacturing, Care & Healthcare
Carlow;Titan Healthcare Limited;LinkPlus;Dolmen Business Park Tullow Road Co. Carlow;EA4815;353599100790;info@linkplus.ie | jason@linkplus.ie;https://linkplus.ie/;Care & Healthcare
Cavan;Empire Recruitment Ltd;;1 Churchview Square Church Street Co. Cavan;EA3695;353494373809;v.wimsey@empirerecruitment.ie;https://www.empirerecruitment.ie/;Construction, Engineering, Logistics & Warehousing 
Cavan;GGA Connect Recruitment Agency Limited;;Shancor Ballinagh Co. Cavan;EA5389;353494310028;info@ggaconnect.ie;https://ggaconnect.ie/;General Recruitment
Cavan;Intowork Limited;Intowork Ltd;Corratober Cavan Co. Cavan H12 P231;EA4270;353861242361;recruitment@intowork.ie;https://www.intowork.ie/;Construction, Manufacturing, Engineering
Cavan;J&A Recruitment Ltd;;Island Rock House Ryefield Virginia Co. Cavan A82V3H6;EA5361;353868121112;jandarecruitmentltd@gmail.com;https://www.jarecruitment.careers/;Agriculture
Cavan;Kevin O'Callaghan;O'Callaghan Recruitment;Turners Hill Kingscourt Co. Cavan;EA4664;;;;Aviation
Cavan;KRMC LTD;Glantech Staffing;Unit 1 Erne Business Park Swalinbar Co. Cavan;EA5275;353894655879;rosemary@glantechstaffing.ie;https://www.glantechstaffing.ie/;Technical, Engineering
Cavan;LDP Consultancy Limited;De Paor Consultancy;Loreto Road Carrickane Co. Cavan H12 F659;EA1897;353494361158;info@depaor.ie;https://depaor.ie/;Agriculture, Sales & Marketing, Media, PR
Cavan;Nidhin Francis;Breffni Solutions;37 The Beeches Drumgola Wood Co. Cavan H12X971;EA3894;+353494361769 | +353894199201 | +353894414335 | +353894996599;info@breffnisolutions.com;http://breffnisolutions.com/;Care & Healthcare
Cavan;Sheila O'Keeffe;O'Keeffe Recruitment - Getthejobyouwant;Billis Co. Cavan H12 F3X5;EA4392;+35315175900 | +353868355169;info@getthejobyouwant.ie;https://getthejobyouwant.ie;General Recruitment, Career Development
Clare;Banaltra Healthcare Recruiters Ltd;Banaltra Healthcare Recruiters Ltd;35 Hazel Court Hazelwood Clon Road, Ennis Co. Clare;EA5291;353894461284;;;Care & Healthcare
Clare;Beacon Recruitment;;40 Inis Clair Kildysart Road Clarecastle Co. Clare V95VK7V;EA5133;353863889457;infor@beaconrecruitment.ie;https://www.beaconrecruitment.ie;General Recruitment
Clare;CareerWise Recruitment Limited;;3 Ballycasey Business Park Shannon Co. Clare V14 YK84;EA1561;35361513367;info@careerwise.ie;https://careerwise.ie;Engineering, IT & Data Science, Supply Chain, Life Sciences
Clare;Cregg Labour Solutions Limited;;Bay 100-101 Shannon Industrial Estate Shannon Co. Clare;EA2246;35361363318;info@cregg.ie;https://cregg.ie/;Engineering, Manufacturing, Industrial
Clare;Eflexes Staffing and Recruitment Solutions Ltd;;Bay 89.2 Shannon Industrial Estate Shannon, Co. Clare V14VP44;EA2173;35361474626;info@eflexes.com | mycv@eflexes.com;https://eflexes.com;Care & Healthcare, Engineering, Logistics & Warehousing 
Clare;Fitzgerald Healthcare Ltd;Fitzgerald Healthcare;6 Cuirt NaDtonnta E-Town Miltown Malbay Co. Clare V95PK37;EA5287;353656729399;;;Care & Healthcare
Clare;Gaia Talent Ltd;;Ennis Digital Hub Quin Road Business Park Quin Road Ennis Co. Clare V95 VW74;EA4906;353656729020;info@gaiatalent.com;https://gaiatalent.com/;Sustainability, Engineering, Ecology
Clare;Glensheen Limited;Key 2 Recruitment;4 High Street Ennis Co. Clare V95 HD2Y;EA3365;353656828100;info@key2recruitment.ie;https://key2recruitment.ie/;Accounting & Finance, Engineering, Sales & Marketing, IT & Data Science
Clare;Infinite Innovative Solutions Ltd;Infinit;IQEQ-Suite 6 Rineanna House Shannon Free Zone Co. Clare V14CA36;EA4860;35361539330;contact@infiniteos.com;https://infiniteos.com/Home/ContactUs#Ireland;IT & Data Science, Accounting & Finance
Clare;QR Select Ltd;;2 Cluain Alainn Hurlers Cross Shannon Co. Clare V14 K252;EA4755;35312118879;info@qrselect.ie;https://qrselect.ie;Pharma
Clare;Recpro Limited;;Unit 12 Ballycasey Craft and Design Centre Shannon Co. Clare V14T935;EA5265;;;;General Recruitment
Clare;RS Talent Solutions;;22 Aisling Shanaway Road Ennis Co. Clare V95 KW58;EA5346;;;;General Recruitment
Clare;Techheads Limited;Business Change Services;Future mobility Campus Shannon Co. Clare V14WV92;EA4874;35361546037;accounts@businesschange.ie;https://www.businesschange.ie/contact/;IT & Data Science
Clare;TTM Healthcare Limited;TTM Recruitment;Block 3 Ballymaley Business Park Gort Road Ennis Co. Clare V95 XD79;EA2019;353656869300;;https://ttmhealthcare.ie;Care & Healthcare
Cork;Adecco Ireland Limited;Adecco Ireland Limited;Suite 314 Glandore, City Quarter Lapps Quay Co. Cork;EA1009;353214273830;1369.cork@adecco.ie;https://www.adecco.com/en-ie/locations/cork;Accounting & Finance, IT & Data Science, Admin & Office
Cork;Affordable Live-In Homecare Ltd;;16 Railway Place High Street Co. Cork T12 N2V8;EA3808;353216017261;reception@alhomecare.ie;https://alhomecare.ie;Care & Healthcare
Cork;Apex Global Resources LTD;Apex Global Resources;Ringport Business Park Ringaskiddy Cork Co. Cork P43 RX06;EA5051;353238808959;;https://apexglobalresources.com/contact-us/;General Recruitment, Industrial
Cork;ASE Cultural Exchange Ltd;AuPair Service Europe;East End House Poulavone Ballincollig Co. Cork P31 Y309;EA3961;353879956218;info@aupairserviceeurope.com;https://aupairserviceeurope.com/;Au Pair, Care & Healthcare
Cork;AspiraCon Ltd;emagine Expertise Ltd;Penrose Two Penrose Dock Co. Cork T23 YY09;EA4504;353212352550;info@emagine-consulting.ie;https://emagine-consulting.ie/contact/;IT & Data Science, Project Management, Consultancy
Cork;AW Industrial Services Limited;;First Floor Penrose 2 Penrose Dock Co. Cork T23YY09;EA5387;;;;Industrial, Technical
Cork;Berkley Recruitment (Group) Limited;;3 Watergold Douglas Co. Cork T12 VNR3;EA1260;353214289600;info@berkley-group.com;http://www.berkley-group.com/;IT & Data Science, Engineering, Life Sciences, Accounting & Finance
Cork;Board Excellence Ltd;;Shanendoah Lahardane Whites Cross Co. Cork T23X310;EA5067;353868358135;info@board-excellence.com;https://board-excellence.com;Board Level, Consultancy
Cork;CB Sanitation Services (Cork) Ltd;CB Facilities Management;1st Floor, Unit 20 Red Abbey Building South Link Business Park, Frankfield Douglas Co. Cork;EA5178;;eileen@cbfm.ie;https://cbfm.ie;Cleaning Services
Cork;Claran Consulting Engineers Limited;;Unit 11 Rivergrove, Riverstick Co. Cork;EA2085;353214701100;info@claran.ie;https://claran.ie;Engineering, Life Sciences
Cork;Cornhouse Consulting Limited;;'Satori' Ballineadig Farran Co. Cork P31 TF66;EA3945;353217431028;careers@cornhouseconsulting.com;https://cornhouseconsulting.com;Engineering, Technical
Cork;Crest Solutions Limited;Catalyx;Little Island Industrial Estate Wallingstown Little Island Co. Cork T45X767;EA4271;353214524767;;https://www.catalyx.ai/contact;Pharma, IT & Data Science, Automation
Cork;C&M Recruitment Limited;;1st Floor 32 Oliver Plunkett St Co. Cork T12 FWA0;EA2255;353214805989;;https://cmrecruitment.ie;Hospitality, Catering
Cork;C.S.A. Personnel Consultants Limited;;65 Patrick Street Co. Cork;EA1010;353214275155;info@csapersonnel.com;https://www.csapersonnel.com;Admin & Office
Cork;DPS Engineering & Construction Limited;DPS Engineering & Construction Limited;No 4 Eastgate Avenue Eastgate Business Park Little Island Co. Cork T45 X265;EA1264;353217305000;;https://www.arcadis.com/en/office-locations#office-search-result_e=0&office-search-result_state=Cork;Engineering, Pharma, Biotechnology, Project Management
Cork;Emerald Core Construction Ltd;The Advantage Ireland;Library House 18 Dyke Parade Mardyke Co. Cork T12 A8D7;EA5036;;;;Construction
Cork;Employmum Limited;Employflex;1 Lady's Cross Clonakilty Co. Cork P85AT29;EA3954;353879722498;info@employflex.ie;https://employflex.ie/about/;Temporary Staffing, Admin & Office, Accounting & Finance
Cork;Engco STS Limited;;St Judes Ballyviniter Lower Mallow Co. Cork;EA4869;;;https://www.engcogroup.com/;Engineering, Technical
Cork;Ethics Alpha Recruitment;;10 An Choill Cul Ard Carrigtwohill Co. Cork;EA5356;;;;General Recruitment
Cork;Fastnet Recruitment Limited;Fastnet The Talent Group;Eastgate Business Park Eastgate Village Little Island Co. Cork T45 A363;EA1593;353214509200;info@fastnettalent.com;https://fastnettalent.com/contact-us/;Life Sciences, Engineering, Supply Chain, Pharma
Cork;Fikados Care Services Limited;;Glandore 4th Floor, City Quarter Lapp's Quay Co. Cork T12Y3ET;EA4914;353899653961;info@fikados.ie;https://care.fikados.ie;Care & Healthcare
